OFFER,Offer Group,Offer Tier,Drop Months,Order Deadline,Min Order Value (ex GST),Brand,Range,Energizer Order Code,HTH Code,Code,Description,Reg Charge Back Cost,Expo Charge Back Cost,Save,SRP / Promo RRP,$ GM,% GM,Qty Type,Qty,Reg Total Cost,Expo Total Cost
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,212534,212534,ENERGIZER MAX AA 10PK,6.29,6.29,50.0%,19.00,,,,10,125.80,62.90
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,257084,257084,ENERGIZER MAX AAA 8PK,5.925,5.925,50.0%,19.00,,,,12,142.20,71.10
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,824941,824941,ENERGIZER MAX AA 16PK,8.525,8.525,50.0%,27.50,,,,12,204.60,102.30
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,824873,824873,ENERGIZER MAX AAA 14PK,8.27,8.27,50.0%,27.50,,,,12,198.48,99.24
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,296664,296664,ENERGIZER MAX PLUS AA 10PK,7.035,7.035,50.0%,22.50,,,,12,168.84,84.42
Energizer Tower Pre-Pack,Energizer Tower Pre-Pack,,JULY; SEPT; JAN,,,Energizer,,,617645,617645,ENERGIZER MAX PLUS AAA 10PK,6.7,6.7,50.0%,22.50,,,,12,160.80,80.40
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,647679,647679,EVEREADY BLACK AA 24PK,6.755,6.755,50.0%,20.00,,,,18,243.18,121.59
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,751282,751282,EVEREADY BLACK AAA 24PK,6.69,6.69,50.0%,20.00,,,,18,240.84,120.42
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,532379,532379,EVEREADY GOLD AAA 8PK,3.99,3.99,50.0%,13.50,,,,18,143.64,71.82
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,532308,532308,EVEREADY GOLD AA 8PK,4.23,4.23,50.0%,13.50,,,,18,152.28,76.14
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,647750,647750,EVEREADY GOLD AAA 16PK,4.96,4.96,50.0%,19.50,,,,18,178.56,89.28
Eveready Tower Pre-Pack,Eveready Tower Pre-Pack,,JULY; SEPT; JAN,,,Eveready,,,532230,532230,EVEREADY GOLD AA 16PK,4.96,4.96,50.0%,19.50,,,,18,178.56,89.28
Eveready Lighting Tower,Eveready Lighting Tower,,JULY; SEPT; JAN,,,Eveready,,,208970,208970,Eveready 100lm Headlamp,4.7725,4.7725,30.0%,12.50,,,,4,27.27,19.09
Eveready Lighting Tower,Eveready Lighting Tower,,JULY; SEPT; JAN,,,Eveready,,,202291,202291,Eveready 100lm Floating Torch,4.39,4.39,30.0%,11.50,,,,4,25.09,17.56
Eveready Lighting Tower,Eveready Lighting Tower,,JULY; SEPT; JAN,,,Eveready,,,202322,202322,Eveready 90lm Metal Flashlight,4.7725,4.7725,30.0%,12.50,,,,4,27.27,19.09
Eveready Lighting Tower,Eveready Lighting Tower,,JULY; SEPT; JAN,,,Eveready,,,202335,202335,Eveready Dolphin Compact Lantern 190lm,7.6375,7.6375,30.0%,20.00,,,,4,43.64,30.55
Energizer Max Plus 10's Penta,Energizer Max Plus 10's Penta,,JULY; SEPT; JAN,,,Energizer,,,296664,296664,Max Plus AA 10pk,7.0358,7.0358,50.0%,22.50,,,,24,337.72,168.86
Energizer Max Plus 10's Penta,Energizer Max Plus 10's Penta,,JULY; SEPT; JAN,,,Energizer,,,617645,617645,Max Plus AAA 10pk,6.7,6.7,50.0%,22.50,,,,24,321.60,160.80
Energizer Max 14/16 Loose Stock,Energizer Max 14/16 Loose Stock,,JULY; SEPT; JAN,,,Energizer,,,824941,824941,Max AA 16pk,8.525,8.525,50.0%,22.50,,,,30,511.50,255.75
Energizer Max 14/16 Loose Stock,Energizer Max 14/16 Loose Stock,,JULY; SEPT; JAN,,,Energizer,,,824873,824873,Max AAA 14pk,8.27,8.27,50.0%,22.50,,,,24,396.96,198.48
Energizer Max 24pk Loose Stock,Energizer Max 24pk Loose Stock,,JULY; SEPT; JAN,,,Energizer,,,986735,986735,Max AA 24pk,8.835,8.835,50.0%,29.00,,,,6,106.02,53.01
Energizer Max 24pk Loose Stock,Energizer Max 24pk Loose Stock,,JULY; SEPT; JAN,,,Energizer,,,739442,739442,Max AAA 24pk,10.95,10.95,50.0%,29.00,,,,6,131.40,65.70
Energizer Specialty Range Loose,Energizer Specialty Range Loose,,JULY; SEPT; JAN,,,Energizer,,,556027,556027,2032 2pk,2.3042,2.3042,40.0%,10.50,,,,12,46.08,27.65
Energizer Specialty Range Loose,Energizer Specialty Range Loose,,JULY; SEPT; JAN,,,Energizer,,,555843,555843,2025 2pk,2.3042,2.3042,40.0%,10.50,,,,12,46.08,27.65
Energizer Specialty Range Loose,Energizer Specialty Range Loose,,JULY; SEPT; JAN,,,Energizer,,,555424,555424,2016 2pk,2.3158,2.3158,40.0%,10.50,,,,12,46.32,27.79
Energizer Specialty Range Loose,Energizer Specialty Range Loose,,JULY; SEPT; JAN,,,Energizer,,,221826,221826,A23 2pk,1.8483,1.8483,40.0%,8.00,,,,12,36.96,22.18
Energizer Specialty Range Loose,Energizer Specialty Range Loose,,JULY; SEPT; JAN,,,Energizer,,,555518,555518,A26 2pk,1.3383,1.3383,40.0%,8.00,,,,12,26.76,16.06
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,469466,469466,Armor All Membrane Air Freshener New Car 2.5ml,2.4717,2.4717,40.0%,11.00,,,,12,49.44,29.66
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,222136,222136,Armor All Frangipani Hanging Card x1pk,1.2958,1.2958,40.0%,4.60,,,,24,51.84,31.10
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,285804,285804,Armor All Windscreen Wash 500ml,2.39,2.39,40.0%,8.50,,,,8,31.86,19.12
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,657954,657954,Armor All Protectant 300mL,4.8317,4.8317,40.0%,16.50,,,,6,48.31,28.99
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,657962,657962,Armor All Cleaning Wipes 30pk,6.03,6.03,40.0%,18.00,,,,4,40.20,24.12
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,496688,496688,Armor All Glass Wipes 30pk,6.03,6.03,40.0%,18.00,,,,4,40.20,24.12
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,287908,287908,Armor All Extreme Tyre Shine 350ml,5.715,5.715,40.0%,19.50,,,,4,38.10,22.86
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,267335,267335,Armor All Car Wash 1L,2.8862,2.8862,40.0%,10.00,,,,8,38.48,23.09
ARMOR ALL® Range Loose,ARMOR ALL® Range Loose,,JULY; SEPT; JAN,,,Armor All,,,379425,379425,Armor All Ultra Shine Wash & Wax 1L,3.3537,3.3537,40.0%,12.50,,,,8,44.72,26.83
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,209374,209374,NEW: Jelly Belly Berry Lemonade Mix Vent Duo,2.725,2.725,50.0%,9.99,,,,6,32.70,16.35
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,209366,209366,NEW: Jelly Belly Strawberry Shortcake Mix Vent Duo,2.725,2.725,50.0%,9.99,,,,6,32.70,16.35
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,675546,675546,Jelly Belly Hang 3D Gel Bubble Gum 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,675855,675855,Jelly Belly Hang 3D Gel Tutti-Frutti 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,675407,675407,Jelly Belly Hang 3D Gel Blueberry 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,388063,388063,Jelly Belly Hang 3D Gel Very Cherry 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,674980,674980,Jelly Belly Hang 3D Gel Island Punch 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,674964,674964,Jelly Belly Hang 3D Gel Pina Colada 1ea,1.7983,1.7983,50.0%,7.00,,,,6,21.57,10.79
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,374739,374739,Jelly Belly Vent 3D Gel Island Punch 2pk,2.4417,2.4417,50.0%,9.50,,,,6,29.29,14.65
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,388055,388055,Jelly Belly Vent 3D Gel Tangerine 2pk,2.4417,2.4417,50.0%,9.50,,,,6,29.29,14.65
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,675017,675017,Jelly Belly Vent Gel Bubble Gum 2pk,2.4417,2.4417,50.0%,9.50,,,,6,29.29,14.65
Jelly Belly® Range Loose Stock Deal,Jelly Belly® Range Loose Stock Deal,,JULY; SEPT; JAN,,,Jelly Belly,,,674930,674930,Jelly Belly Vent Gel Blueberry 2pk,2.4417,2.4417,50.0%,9.50,,,,6,29.29,14.65
